shipment_id,warehouse_id,shipment_mode,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,delivery_status,order_id
202,B,Ship,2,3,160,3,low,F,43,1251,On Time,527204
203,C,Ship,2,4,134,3,low,M,58,1067,On Time,537809
204,F,Ship,5,3,161,5,high,M,48,1883,On Time,526236
205,D,Ship,2,5,155,3,low,M,23,1602,On Time,533561
206,F,Ship,2,3,145,3,medium,F,24,7588,On Time,492680
207,A,Ship,2,2,157,3,low,M,1,1477,On Time,571914
208,B,Ship,2,2,160,3,low,M,48,1691,On Time,554098
209,C,Ship,2,4,152,3,low,M,55,1498,On Time,540526
210,F,Ship,2,5,148,3,high,F,11,1502,On Time,574547
211,D,Ship,2,1,127,3,low,F,15,1522,On Time,506842
212,F,Ship,2,5,154,3,low,F,21,1113,On Time,506716
213,A,Ship,2,5,127,3,low,M,44,1341,On Time,581219
214,B,Ship,2,5,160,3,medium,F,31,7401,On Time,569700
215,C,Ship,2,4,129,3,low,F,48,1219,On Time,554557
216,F,Ship,2,5,158,3,low,F,40,1722,On Time,524952
217,D,Ship,4,3,185,3,medium,M,3,3131,On Time,495029
218,F,Ship,4,4,176,4,high,F,63,1293,On Time,526150
219,A,Ship,3,4,148,3,low,M,37,1523,On Time,514507
220,B,Ship,3,5,270,3,low,M,60,3885,On Time,565388
221,C,Ship,3,4,242,3,low,M,29,2381,On Time,544768
222,F,Ship,4,3,150,2,medium,M,31,1588,On Time,504140
223,D,Ship,4,2,192,3,high,M,4,2061,On Time,502749
224,F,Ship,4,5,116,3,medium,F,9,1314,On Time,508393
225,A,Ship,3,4,192,3,medium,F,31,3331,On Time,560996
226,B,Ship,5,4,255,4,medium,F,38,2771,On Time,491833
227,C,Ship,4,3,161,7,medium,M,63,1496,On Time,551418
228,F,Ship,4,2,157,3,low,F,48,1393,On Time,538635
229,D,Ship,3,2,164,10,high,M,14,1375,On Time,573996
230,F,Ship,3,3,162,7,medium,F,42,1278,On Time,506445
231,A,Ship,3,1,146,2,low,F,54,1528,On Time,565835
232,B,Ship,3,4,209,3,medium,F,60,2240,On Time,543371
233,C,Ship,5,5,134,2,medium,M,53,1088,On Time,537237
234,F,Ship,2,1,222,2,medium,M,58,3626,On Time,539444
235,D,Ship,2,1,139,3,low,F,39,1582,On Time,569488
236,F,Ship,2,2,134,3,low,M,38,1352,On Time,557397
237,A,Ship,2,3,130,3,low,F,48,1801,On Time,549552
238,B,Ship,2,2,133,3,low,M,5,1268,On Time,528896
239,C,Ship,2,3,140,3,low,F,23,1372,On Time,541816
240,F,Ship,2,3,158,3,low,M,10,1515,On Time,580759
241,D,Ship,4,5,270,4,low,M,65,1818,On Time,511066
242,F,Ship,2,4,140,3,low,F,33,1278,On Time,549140
243,A,Ship,2,2,135,3,low,M,58,1734,On Time,569408
244,B,Ship,2,4,136,3,low,M,43,1958,On Time,531489
245,C,Ship,2,1,142,3,medium,F,8,6064,On Time,516610
246,F,Ship,2,4,154,3,medium,F,48,7684,On Time,542412
247,D,Ship,2,3,139,3,low,F,3,1788,On Time,556441
248,F,Road,2,4,160,3,low,F,50,1030,On Time,537399
249,A,Road,2,2,134,3,low,F,38,1530,On Time,489604
250,B,Road,5,5,161,5,high,F,54,1511,On Time,541410
251,C,Road,2,3,155,3,low,F,45,1639,On Time,574717
252,F,Road,2,2,145,3,medium,F,5,6102,On Time,533067
253,D,Road,2,1,157,3,low,M,58,1930,On Time,506715
254,F,Road,2,5,160,3,low,F,19,1399,On Time,492714
255,A,Road,2,2,152,3,low,F,61,1800,On Time,560989
256,B,Road,2,2,148,3,high,F,35,1349,On Time,576070
257,C,Road,2,2,127,3,low,M,13,1128,On Time,577723
258,F,Road,2,2,129,3,medium,F,22,6614,On Time,578233
259,D,Road,2,3,158,3,low,F,13,1245,On Time,554323
260,F,Road,2,4,147,3,low,M,5,1920,On Time,571275
261,A,Road,2,5,159,3,low,F,49,1621,On Time,490147
262,B,Road,2,3,151,3,low,F,23,1930,On Time,561236
263,C,Road,3,1,294,4,low,F,52,1089,On Time,521473
264,F,Road,3,2,226,2,medium,M,45,1446,On Time,578273
265,D,Road,5,3,271,5,high,M,9,1813,On Time,558571
266,F,Road,7,2,203,5,medium,F,61,1856,On Time,579027
267,A,Road,2,3,264,4,low,F,10,1648,On Time,512104
268,B,Road,4,1,258,3,medium,M,36,2211,On Time,495501
269,C,Road,3,5,241,3,low,F,21,3078,On Time,573585
270,F,Flight,4,5,208,3,medium,M,23,2056,On Time,508898
271,D,Flight,3,2,209,5,medium,F,12,3054,On Time,509217
272,F,Flight,5,1,182,2,medium,F,23,2707,On Time,551440
273,A,Flight,4,5,148,2,medium,F,43,1087,On Time,532990
274,B,Flight,2,3,183,2,medium,F,52,3199,On Time,516960
275,C,Flight,3,5,229,6,medium,M,22,2717,On Time,500461
276,F,Flight,5,5,115,5,low,F,26,1692,On Time,505852
277,D,Flight,4,2,136,3,low,F,65,1962,On Time,532680
278,F,Flight,4,4,212,3,low,M,21,3307,On Time,543273
279,A,Flight,4,3,171,3,low,F,24,1304,On Time,508249
280,B,Flight,3,1,151,2,low,M,60,1925,On Time,526654
281,C,Flight,3,1,205,3,medium,M,39,3062,On Time,577311
282,F,Flight,5,4,147,3,medium,M,23,1132,On Time,C499291
283,D,Flight,3,3,155,3,low,F,29,1712,On Time,552649
284,F,Flight,5,4,165,3,low,F,20,1150,On Time,545447
285,A,Flight,5,5,230,3,low,F,32,3249,On Time,540247
286,B,Flight,2,4,181,4,medium,M,13,2309,On Time,577024
287,C,Flight,5,3,234,2,low,F,55,3308,On Time,532983
288,F,Flight,4,4,149,3,low,M,34,1977,On Time,537645
289,D,Flight,5,5,156,2,low,M,44,1561,On Time,550835
290,F,Flight,4,2,172,3,medium,F,59,1858,On Time,536587
291,A,Flight,4,4,270,3,low,M,12,3279,On Time,572677
292,B,Ship,4,1,206,3,medium,M,23,3807,On Time,568180
293,C,Ship,4,3,211,4,medium,M,40,3106,On Time,534753
294,F,Ship,3,2,136,4,low,M,62,1090,On Time,569481
295,D,Ship,5,1,186,2,high,F,52,3981,On Time,502100
296,F,Ship,3,1,202,2,medium,M,62,3398,On Time,504437
297,A,Ship,4,2,183,3,medium,F,12,3646,On Time,525167
298,B,Ship,4,4,232,2,low,M,36,2861,On Time,506313
299,C,Ship,4,2,147,4,medium,M,52,1129,On Time,510148
300,F,Ship,4,3,136,3,medium,M,20,1531,On Time,505203
301,D,Ship,5,3,127,3,low,F,43,1446,On Time,526151
302,F,Ship,4,5,202,2,medium,M,35,3695,On Time,537193
303,A,Ship,3,4,241,2,low,M,57,3671,On Time,528642
304,B,Ship,4,3,222,2,medium,M,55,3833,On Time,574941
305,C,Ship,3,2,183,4,medium,F,12,2777,On Time,570225
306,F,Ship,4,4,249,3,medium,F,36,3769,On Time,517351
307,D,Ship,3,1,243,4,high,M,59,3838,On Time,571743
308,F,Ship,3,3,163,3,medium,M,9,1257,On Time,C501421
309,A,Ship,4,2,165,2,high,M,11,1596,On Time,578356
310,B,Ship,5,5,266,3,medium,F,53,3089,On Time,531439
311,C,Ship,3,4,193,2,medium,M,48,3909,On Time,533330
312,F,Ship,3,2,154,3,low,F,56,1136,On Time,575840
313,D,Ship,3,3,140,3,medium,M,51,1046,On Time,524016
314,F,Ship,4,3,272,3,medium,M,38,3705,On Time,494814
315,A,Ship,4,2,143,6,medium,M,20,1654,On Time,504935
316,B,Ship,4,2,138,3,low,F,30,1805,On Time,548451
317,C,Ship,4,2,238,2,high,M,17,3358,On Time,498095
318,F,Ship,4,5,273,4,medium,F,31,2373,On Time,508059
319,D,Ship,3,1,200,2,medium,M,27,2551,On Time,536520
320,F,Ship,4,5,213,4,low,M,39,2381,On Time,519711
321,A,Ship,3,4,224,2,medium,F,15,2701,On Time,580997
322,B,Ship,4,5,141,3,medium,M,12,1672,On Time,490963
323,C,Ship,3,3,150,3,low,M,46,1040,On Time,580983
324,F,Ship,3,1,192,2,low,M,33,2818,On Time,577106
325,D,Ship,5,1,279,4,medium,F,24,3440,On Time,538877
326,F,Ship,3,4,246,3,medium,M,30,3748,On Time,568152
327,A,Ship,3,4,173,3,medium,M,52,1587,On Time,574950
328,B,Ship,4,4,233,4,medium,F,59,2358,On Time,578844
329,C,Ship,5,1,274,2,medium,M,24,2423,On Time,552332
330,F,Ship,4,5,243,4,medium,F,41,2782,On Time,571240
331,D,Ship,3,4,197,3,medium,F,56,3427,On Time,548313
332,F,Ship,4,3,140,3,high,F,46,1072,On Time,545687
333,A,Ship,3,5,215,3,medium,F,22,2585,On Time,542303
334,B,Ship,3,4,211,3,medium,M,8,3710,On Time,568174
335,C,Ship,4,2,220,5,low,M,33,2854,On Time,555092
336,F,Ship,3,1,194,4,low,M,64,2026,On Time,510148
337,D,Ship,5,1,262,3,medium,F,58,3599,On Time,577057
338,F,Ship,4,4,201,2,low,F,1,3147,On Time,572227
339,A,Ship,3,5,261,3,medium,M,15,2989,On Time,493276
340,B,Ship,4,4,191,6,low,F,60,3425,On Time,544684
341,C,Ship,2,5,255,5,medium,F,53,3775,On Time,530422
342,F,Ship,3,2,169,2,high,M,30,1698,On Time,578809
343,D,Ship,4,5,162,2,medium,M,64,1918,On Time,571255
344,F,Ship,2,5,248,6,low,F,62,2750,On Time,565329
345,A,Ship,5,3,197,4,low,F,2,2222,On Time,C544580
346,B,Ship,5,1,264,3,low,M,6,2882,On Time,497953
347,C,Ship,5,5,260,2,medium,F,55,2791,On Time,522950
348,F,Ship,5,3,186,2,medium,F,58,2259,On Time,555633
349,D,Ship,4,5,233,4,low,F,44,2551,On Time,546115
350,F,Ship,5,1,161,3,low,M,47,1954,On Time,567668
351,A,Ship,4,5,188,3,low,F,13,2409,On Time,509051
352,B,Ship,5,5,171,2,medium,F,22,1695,On Time,539595
353,C,Ship,2,2,267,3,medium,M,15,2481,On Time,580062
354,F,Ship,4,3,255,2,high,M,47,2956,On Time,560926
355,D,Ship,3,2,132,3,low,F,56,1303,On Time,538883
356,F,Ship,5,1,266,3,low,F,31,3157,On Time,541214
357,A,Ship,3,4,198,2,low,M,25,2774,On Time,572550
358,B,Ship,2,3,247,2,medium,F,62,3127,On Time,578011
359,C,Ship,3,1,140,3,medium,F,65,1291,On Time,528647
360,F,Ship,4,3,131,5,low,M,6,1659,On Time,512435
361,D,Ship,5,2,246,3,medium,M,49,3236,On Time,576840
362,F,Ship,3,2,159,3,medium,F,4,1681,On Time,561708
363,A,Ship,3,5,203,2,medium,M,61,3642,On Time,569545
364,B,Ship,4,3,187,4,high,F,29,3141,On Time,566904
365,C,Ship,6,2,146,3,low,F,62,1936,On Time,572721
366,F,Ship,3,2,234,3,medium,M,39,2099,On Time,504332
367,D,Ship,3,4,122,3,high,F,15,1354,On Time,554382
368,F,Ship,3,3,135,3,low,M,8,1074,On Time,512589
369,A,Ship,3,5,103,3,low,M,3,1403,On Time,543349
370,B,Ship,3,5,257,3,medium,F,19,2173,On Time,579938
371,C,Ship,4,3,169,2,low,M,2,1399,On Time,545530
372,F,Ship,4,5,159,3,medium,M,18,1808,On Time,540647
373,D,Ship,4,5,188,3,low,M,38,3031,On Time,494016
374,F,Ship,5,1,136,3,medium,M,19,1420,On Time,497274
375,A,Ship,5,1,227,3,low,F,19,3007,On Time,567670
376,B,Ship,3,5,262,2,low,F,53,3275,On Time,555584
377,C,Ship,2,3,157,2,low,M,45,1965,On Time,547892
378,F,Ship,5,3,238,2,medium,F,21,2053,On Time,553522
379,D,Ship,3,5,152,3,low,M,43,1282,On Time,525832
380,F,Ship,3,2,201,3,medium,M,5,2040,On Time,520171
381,A,Ship,3,4,148,2,low,M,54,1778,On Time,522953
382,B,Ship,5,2,199,4,low,F,59,2885,On Time,511137
383,C,Ship,5,4,215,2,low,F,45,3501,On Time,552269
384,F,Ship,4,5,175,2,low,M,40,1270,On Time,520059
385,D,Road,4,3,236,2,high,M,23,3123,On Time,562096
386,F,Road,2,5,182,2,medium,F,57,2896,On Time,533803
387,A,Road,3,1,251,3,medium,M,42,3698,On Time,494456
388,B,Road,5,2,173,3,low,F,7,1855,On Time,558774
389,C,Road,4,3,225,3,low,F,62,2587,On Time,494778
390,F,Road,4,2,167,4,low,F,20,1705,On Time,567183
391,D,Road,4,1,259,3,low,M,20,2154,On Time,519890
392,F,Road,4,1,178,3,medium,F,63,1573,On Time,524765
393,A,Road,4,4,178,4,medium,F,13,1614,On Time,525928
394,B,Road,5,4,169,2,low,F,20,1765,On Time,556082
395,C,Road,3,2,272,2,low,M,33,2321,On Time,572552
396,F,Road,4,4,183,3,low,M,29,3251,On Time,546428
397,D,Road,3,4,205,3,low,F,10,2728,On Time,494732
398,F,Road,2,1,123,4,low,F,53,1036,On Time,569405
399,A,Road,4,3,152,3,low,M,58,1453,On Time,513762
400,B,Road,3,1,220,2,high,F,40,3773,On Time,537643
401,C,Road,4,3,134,3,low,M,51,1965,On Time,517865
402,F,Road,3,2,217,2,high,M,19,2992,On Time,565835
403,D,Road,3,2,265,3,low,F,49,2791,On Time,579471
404,F,Road,4,2,249,5,medium,M,36,3836,On Time,506290
405,A,Road,5,3,213,4,medium,F,50,2003,On Time,505657
406,B,Road,2,2,124,3,low,F,56,1494,On Time,568346
407,C,Flight,4,1,180,2,low,M,23,1193,On Time,536363
408,F,Flight,4,5,193,3,medium,M,65,2267,On Time,512402
409,D,Flight,3,2,192,3,medium,M,43,3339,On Time,498133
410,F,Flight,2,5,166,3,medium,M,3,1832,On Time,498594
411,A,Flight,3,2,264,3,medium,M,5,3861,On Time,566952
412,B,Flight,3,4,200,2,medium,M,14,3528,On Time,490145
413,C,Flight,4,3,142,4,medium,M,12,1396,On Time,530487
414,F,Flight,4,1,215,2,low,M,32,3066,On Time,C548460
415,D,Flight,2,1,218,2,low,M,15,2745,On Time,C524282
416,F,Flight,3,2,115,3,low,F,27,1814,On Time,500455
417,A,Flight,4,3,159,3,low,M,33,1330,On Time,520317
418,B,Flight,5,5,133,3,low,M,63,1218,On Time,559796
419,C,Flight,5,2,178,3,low,M,48,1517,On Time,548874
420,F,Flight,4,2,134,2,low,F,43,1714,On Time,510232
421,D,Flight,3,1,184,5,medium,F,58,2544,On Time,499382
422,F,Flight,4,2,251,2,medium,M,24,2405,On Time,576386
423,A,Flight,3,2,141,3,low,M,7,1933,On Time,581219
424,B,Flight,4,4,229,2,medium,M,45,3776,On Time,548666
425,C,Flight,4,1,203,4,low,M,34,3813,On Time,570792
426,F,Flight,4,3,158,3,medium,F,57,1911,On Time,530837
427,D,Flight,3,4,167,3,medium,M,52,1755,On Time,556479
428,F,Flight,5,4,197,4,low,F,40,3303,On Time,515578
